q,n,degree_exact,v_over_cutoff,log10_degree,log10_mu_over_v
5,2,31,0.99,1.4913616938342726796667041001184157223037015583041846559383497201,1.1296961397810529210975222384652280422114441152658685964125501059
5,4,781,0.1,2.8926510338773003268430294062784533769771220920668450708731888898,-776.34577061924357819706718415092810812211590949251933621576674337
5,4,781,0.5,2.8926510338773003268430294062784533769771220920668450708731888898,-231.84813724148492926856978314130817597453582715150188989658973559
5,4,781,0.9,2.8926510338773003268430294062784533769771220920668450708731888898,-32.990855766009500891413710879458456388315139083415178810836075773
5,4,781,0.99,2.8926510338773003268430294062784533769771220920668450708731888898,-0.74595402775219414700793328114257209879413271004821812013218022141
5,8,488281,0.1,5.6886698253373751943181743639532270302640997469691603724762080437,-488273.54989057966368128984497382408165722425203903433977648300245
5,8,488281,0.5,5.6886698253373751943181743639532270302640997469691603724762080437,-146981.17514339273769905905875100481227456923916947123621899721275
5,8,488281,0.9,5.6886698253373751943181743639532270302640997469691603724762080437,-22336.971624055553241331985826815185535364808682696767409959072488
5,8,488281,0.99,5.6886698253373751943181743639532270302640997469691603724762080437,-2125.7927076825885688650940682425518190579698239275168334555969865
5,16,190734863281,0.1,11.280430082383788052475640396942974281835721305695953580050449938,-190734863267.95813054497547392770855332444904448474175934264117152
5,16,190734863281,0.5,11.280430082383788052475640396942974281835721305695953580050449938,-57416915054.805546638894971195389305157668628751728248588543676811
5,16,190734863281,0.9,11.280430082383788052475640396942974281835721305695953580050449938,-8727548695.0386336439773584999996382091162649635538898182509965163
5,16,190734863281,0.99,11.280430082383788052475640396942974281835721305695953580050449938,-832520550.63388801417376339305167778470577304696514158431367312182
5,32,29103830456733703613281,0.1,22.463950151760658167519134954081550847652482521155769962505292115,-29103830456733703613256.77461047559917305112837526698481359148671
5,32,29103830456733703613281,0.5,22.463950151760658167519134954081550847652482521155769962505292115,-8761125956195790646974.6947900727063424294166243161893721267553401
