eta,s,p_over_M,local_cross,local_tau,ratio_to_abstract_static
0.5,0.0000001,0.00031622776601683793319988935444327185337195551393252168268575048528,3.3926456620630496667457629007853928903044327266232861130189059151e-68,3.0533810958567447000711866107068536012739894539609575017170153236e-67,0.00000039999918562587473175383942211491848760165193532179738106435011452
0.5,0.00000012589254117941686598153973007165166288704887379154346553437656274,0.00035481338923357566268022391324576806871163845925863916770487783187,4.2710855856559136290950332289250116754538948931911445840476696652e-68,3.8439770270903222661855299060325105079085054038720301256429026987e-67,0.00000050356887402201917236291188616391669268399088283013973325507006347
0.5,0.00000015848931924611134852021013733915070132694421338250390683162968123,0.00039810717055349725077025230508775204348767703729738044686528414806,5.3769746113000286079418545519399525362841898242757152028928834785e-68,4.8392771501700257471476690967459572826557708418481436826035951307e-67,0.00000063395523137041510174616020964234395764442111431635529705745575405
0.5,0.00000019952623149688841956137184568773315923629631385907472481863939557,0.00044668359215096363281974081023956621462328742328060290237465240423,6.7692043211617951182050702981242432456044395702830122319393121278e-68,6.092283889045615606384563268311818921043995613254711008745380915e-67,0.00000079810168390923171920491787618850995594572561355744352624370903595
0.5,0.00000025118864315095801110850320677993273941585181007824754286798884209,0.00050118723362727228500155418688494576806047198983281926392969745589,8.5219143740626449771447824061059238911470935629569494044865874767e-68,7.669722936656380479430304165495331502032384206661254464037928729e-67,0.0000010047494342588214818718343342508831323442998886606206444127281352
0.5,0.00000031622776601683793319988935444327185337195551393252168268575048528,0.00056234132519034908039495103977648123146825104309869166408168942374,1.0728440356509057211169918467873578918700631484022380552615749418e-67,9.6555963208581514900529266210862210268305683356201424973541744764e-67,0.0000012649029203450131339592918823850524965754020129545684234809225455
0.5,0.00000039810717055349770910807047034845225988801028658054209617191000885,0.0006309573444801936126426040654229210310550223080502932206512653763,1.3506283678560355668492577850405474583477835581721465744155857448e-67,1.2155655310704320101643320065364927125130052023549319169740271703e-66,0.0000015924157752952464480106742504204644350877913693444250622804825408
0.5,0.00000050118723362727228500155418688494576806047198983281926392969745589,0.00070794578438413791080221494218931270935443296555129868132715923463,1.7003368057776423941879867199914969146533769718440174395981026147e-67,1.5303031251998781547691880479923472231880392746596156956382923532e-66,0.0000020047284784440843998041477002518382290065071233085186566681323913
0.5,0.0000006309573444801947022673358518259070070334379634375296687865737997,0.00079432823472428241657009439303984960833616712990798046162269490463,2.1405915578735372326839408567285372597542804300392830555993306278e-67,1.926532402086183509415546771055683533778852387035354750039397565e-66,0.0000025237969572877986498970503000748306942257922481214242629793521507
0.5,0.00000079432823472428150206591828283638793258896063175548433209232392932,0.00089125093813374552995310868107829696398587478293004836994794349507,2.6948361450980793267405134453075065297916962541175378465389371507e-67,2.4253525305882713940664621007767558768125266287057840618850434356e-66,0.0000031772615557467869657234167853014367939801761574528865778563113121
0.5,0.000001,0.001,3.392583497740228154203694310564920112470612588713709957010646099e-67,3.0533251479662053387833248795084281012235513298423389613095814891e-66,0.0000039999185633747257415563928095289254482262365730436686207590710197
0.5,0.0000012589254117941686598153973007165166288704887379154346553437656274,0.0011220184543019640814767806814585603896906998039407635907265870248,4.2709870621452693538441496929550717545484062855425731171878883057e-67,3.8438883559307424184597347236595645790935656569883158054690994751e-66,0.0000050355725791826174439087917725684958804383877729342840121086097948
0.5,0.0000015848931924611134852021013733915070132694421338250390683162968123,0.0012589254117941672104239541063958006060936174094669310691079230195,5.3768184626600994229082439178025369520083138347136369178020190778e-67,4.8391366163940894806174195260222832568074824512422732260218171701e-66,0.000006339368211575518224210285807071779337265825516727130605661227229
0.5,0.0000019952623149688841956137184568773315923629631385907472481863939557,0.0014125375446227559283995546353140120050500976265639016711042444744,6.7689568434452798857854570089118618891871598669243138385020287234e-67,6.0920611591007518972069113080206757002684438802318824546518258511e-66,0.0000079807250582966580066155748060218319337721103625373788392149724041
0.5,0.0000025118864315095801110850320677993273941585181007824754286798884209,0.0015848931924611134852021013733915070132694421338250390683162968123,8.5215221507085934080505416693307201461009415440191417759574212468e-67,7.6693699356377340672454875023976481314908473896172275983616791221e-66,0.000010047031904014218047721708646873630174615908334576061169558642908
0.5,0.0000031622776601683793319988935444327185337195551393252168268575048528,0.0017782794100389228012254211951926848447357905264022553580118307228,1.0727818729162189459945124613060337341108278118914408100428428985e-66,9.6550368562459705139506121517543036069974503070229672903855860861e-66,0.000012648296293334317268268259718204964893707363667902825548757759499
0.5,0.0000039810717055349770910807047034845225988801028658054209617191000885,0.0019952623149688807499177711617729928155650425586574571637131064395,1.3505298475141103669681490272227051029103643985161395590497591894e-66,1.2154768627626993302713341245004345926193279586645256031447832705e-65,0.000015922996179936504456514253359175687188447266058167100491704803905
