reference,t,cos1,cos3,cos5,field_energy,clock_energy,work
reference_frozen_N128,12.58,0.44944429705475025,-0.003927980210678089,2.393205003463722e-05,0.8221348556002888,,0.0
reference_frozen_N128,12.6,0.45570410547981943,-0.003976470707931328,2.6197185600016445e-05,0.822134855600444,,0.0
reference_frozen_N128,12.620000000000001,0.46157127007720833,-0.004018051930063027,2.8433484827356807e-05,0.8221348556011597,,0.0
reference_frozen_N128,12.64,0.4670399966911773,-0.004052909865456337,3.062644440941892e-05,0.8221348555992916,,0.0
reference_frozen_N128,12.66,0.472104858869127,-0.004081242143476639,3.276133933406984e-05,0.822134855599198,,0.0
reference_frozen_N128,12.68,0.47676080840183865,-0.0041032552595685855,3.482333053550748e-05,0.8221348556002469,,0.0
reference_frozen_N128,12.700000000000001,0.48100318529832625,-0.004119161842418293,3.679757959367961e-05,0.8221348556004544,,0.0
reference_frozen_N128,12.72,0.48482772713753564,-0.004129177990175669,3.8669369773076205e-05,0.822134855600764,,0.0
reference_frozen_N128,12.74,0.48823057774197476,-0.004133520701926475,4.042423246040141e-05,0.8221348555991663,,0.0
reference_frozen_N128,12.76,0.49120829512871217,-0.004132405426968741,4.2048077091857334e-05,0.8221348556001623,,0.0
reference_frozen_N128,12.780000000000001,0.4937578586828236,-0.00412604375982603,4.352732352269471e-05,0.822134855600212,,0.0
reference_frozen_N128,12.8,0.495876675523189,-0.004114641295671899,4.4849034804082295e-05,0.8221348556006337,,0.0
reference_frozen_N128,12.82,0.4975625860117461,-0.004098395672698471,4.600104906095154e-05,0.8221348556001156,,0.0
reference_frozen_N128,12.84,0.4988138683811896,-0.00407749481412425,4.6972108703259884e-05,0.8221348555994694,,0.0
reference_frozen_N128,12.86,0.4996292424485882,-0.004052115388741387,4.775198521291545e-05,0.8221348556002148,,0.0
reference_frozen_N128,12.88,0.5000078723931896,-0.00402242150248324,4.833159788647916e-05,0.822134855600354,,0.0
reference_frozen_N128,12.9,0.49994936858525063,-0.003988563629078576,4.870312509364284e-05,0.8221348556005054,,0.0
reference_frozen_N128,12.92,0.49945378844871696,-0.003950677792115179,4.8860106291076184e-05,0.8221348555994625,,0.0
reference_frozen_N128,12.94,0.49852163635834834,-0.003908884999420551,4.8797533751313845e-05,0.8221348556001932,,0.0
reference_frozen_N128,12.96,0.4971538625641336,-0.0038632909383799698,4.8511932064377946e-05,0.8221348556002326,,0.0
reference_frozen_N128,12.98,0.4953518611593961,-0.0038139859240247046,4.8001425252403634e-05,0.8221348556006758,,0.0
reference_frozen_N128,13.0,0.4931174670947396,-0.003761045105140262,4.726578950895004e-05,0.8221348555997464,,0.0
reference_frozen_N128,13.02,0.49045295226407903,-0.0037045289159471314,4.6306491744013205e-05,0.8221348555998922,,0.0
reference_frozen_N128,13.040000000000001,0.4873610206781206,-0.0036444837718862194,4.512671223759008e-05,0.8221348556002768,,0.0
reference_frozen_N128,13.06,0.483844802761347,-0.0035809429925810015,4.3731352020510145e-05,0.822134855600783,,0.0
reference_frozen_N128,13.08,0.47990784880186593,-0.003513927942741567,4.212702406786582e-05,0.8221348556018265,,0.0
reference_frozen_N128,13.1,0.47555412159229293,-0.003443449375629774,4.032202825025268e-05,0.8221348555984578,,0.0
reference_frozen_N128,13.120000000000001,0.47078798831177504,-0.003369508956124559,3.8326311376336274e-05,0.8221348555983695,,0.0
reference_frozen_N128,13.14,0.4656142116805634,-0.0032921009562856137,3.6151409942293476e-05,0.8221348556002626,,0.0
reference_frozen_N128,13.16,0.4600379404539463,-0.003211214089370394,3.381037895292174e-05,0.822134855600451,,0.0
reference_frozen_N128,13.18,0.4540646993023858,-0.003126833465496897,3.1317706250385565e-05,0.8221348556011154,,0.0
reference_frozen_N128,13.200000000000001,0.44770037812947366,-0.003038942648624739,2.8689212348262695e-05,0.8221348555991078,,0.0
reference_frozen_N128,13.22,0.44095122089501126,-0.0029475257839498893,2.594193833235184e-05,0.8221348555994342,,0.0
reference_frozen_N128,13.24,0.4338238139932468,-0.002852569777168302,2.3094020878253932e-05,0.8221348556002475,,0.0
reference_frozen_N128,13.26,0.42632507425618316,-0.0027540664944404793,2.0164557303725014e-05,0.8221348556004837,,0.0
reference_frozen_N128,13.280000000000001,0.4184622366385058,-0.0026520149605702174,1.7173460805772046e-05,0.822134855600836,,0.0
reference_frozen_N128,13.3,0.41024284164633273,-0.002546423529519587,1.414130719308865e-05,0.8221348555990725,,0.0
reference_frozen_N128,13.32,0.4016747225733509,-0.002437312001399697,1.1089174911379185e-05,0.8221348556000047,,0.0
reference_frozen_N128,13.34,0.39276599260126643,-0.002324713661632948,8.038478813987777e-06,0.8221348556002291,,0.0
reference_frozen_N128,13.36,0.383525031828279,-0.0022086772186500495,5.01080009377594e-06,0.8221348556005301,,0.0
reference_frozen_N128,13.38,0.3739604742793533,-0.002089268617090018,2.0277128805281727e-06,0.822134855600725,,0.0
reference_frozen_N128,13.4,0.36408119495565155,-0.0019665727052734184,-8.893907438658898e-07,0.8221348555990987,,0.0
reference_frozen_N128,13.42,0.3538962969750608,-0.0018406947382674844,-3.719476087586112e-06,0.8221348556000617,,0.0
reference_frozen_N128,13.44,0.34341509885505783,-0.0017117616932653453,-6.442040055683092e-06,0.8221348556002175,,0.0
reference_frozen_N128,13.46,0.3326471219833044,-0.001579923388163857,-9.037283148780113e-06,0.82213485560043,,0.0
reference_frozen_N128,13.48,0.3216020783205172,-0.0014453533817263622,-1.1486277709198343e-05,0.8221348556007586,,0.0
reference_frozen_N128,13.5,0.3102898583755732,-0.0013082496453860055,-1.377113120687918e-05,0.8221348555995542,,0.0
reference_frozen_N128,13.52,0.29872051948614436,-0.0011688349995221605,-1.5875143913860402e-05,0.8221348555995542,,0.0
reference_frozen_N128,13.540000000000001,0.2869042744425262,-0.0010273572951184971,-1.7782958284537565e-05,0.8221348556002258,,0.0
reference_frozen_N128,13.56,0.2748514804768053,-0.0008840893458098099,-1.948070044405172e-05,0.8221348556001901,,0.0
reference_frozen_N128,13.58,0.2625726286416913,-0.0007393286028363634,-2.0956112288668683e-05,0.8221348556004057,,0.0
reference_frozen_N128,13.6,0.2500783336035096,-0.0005933965635181986,-2.2198671675385626e-05,0.8221348556003768,,0.0
reference_frozen_N128,13.620000000000001,0.2373793238560279,-0.0004466379270290502,-2.3199702314476675e-05,0.8221348556000679,,0.0
reference_frozen_N128,13.64,0.22448643237000765,-0.00029941949176360855,-2.3952470619211174e-05,0.822134855600235,,0.0
reference_frozen_N128,13.66,0.21141058769408858,-0.00015212878748197087,-2.445226602770555e-05,0.8221348556001712,,0.0
reference_frozen_N128,13.68,0.19816280548646373,-5.172481241573796e-06,-2.469647086273059e-05,0.8221348556000687,,0.0
reference_frozen_N128,13.700000000000001,0.184754180497604,0.00014102546682764037,-2.4684611827118143e-05,0.8221348555994852,,0.0
reference_frozen_N128,13.72,0.17119587898990313,0.00028602587296266415,-2.441839479584428e-05,0.8221348556004057,,0.0
reference_frozen_N128,13.74,0.15749913157892836,0.00042937660609386306,-2.3901724861463076e-05,0.8221348556025618,,0.0
reference_frozen_N128,13.76,0.14367522649003614,0.0005706150657111244,-2.314070753684142e-05,0.8221348556006409,,0.0
reference_frozen_N128,13.780000000000001,0.12973550322212168,0.0007092708534952306,-2.2143627507899044e-05,0.8221348556002285,,0.0
reference_frozen_N128,13.8,0.11569134657005425,0.0008448685889292535,-2.0920915941221486e-05,0.8221348556000315,,0.0
reference_frozen_N128,13.82,0.10155418101361824,0.0009769308854402693,-1.9485093184078926e-05,0.8221348555994705,,0.0
reference_frozen_N128,13.84,0.08733546543099457,0.0011049814470346238,-1.7850693195672792e-05,0.8221348556011102,,0.0
reference_frozen_N128,13.86,0.07304668810854265,0.001228548266031461,-1.603417015756295e-05,0.8221348556022089,,0.0
reference_frozen_N128,13.88,0.05869936202194082,0.0013471669031995268,-1.4053783532022293e-05,0.822134855600248,,0.0
reference_frozen_N128,13.9,0.044305020352789604,0.001460383824120201,-1.192946382884539e-05,0.8221348556002464,,0.0
reference_frozen_N128,13.92,0.029875212200811557,0.0015677597643119646,-9.682662405035611e-06,0.8221348555997771,,0.0
reference_frozen_N128,13.94,0.015421498464966682,0.0016688731036641007,-7.336179942944366e-06,0.8221348556003869,,0.0
reference_frozen_N128,13.96,0.0009554478481702363,0.0017633232209102927,-4.913979619855806e-06,0.8221348556016802,,0.0
reference_frozen_N128,13.98,-0.01351136704975148,0.0018507338030027444,-2.4409834913998143e-06,0.8221348556002591,,0.0
reference_frozen_N128,14.0,-0.027967373590005444,0.0019307560824363408,5.7147024925954696e-08,0.8221348556002588,,0.0
reference_frozen_N128,14.02,-0.04240100294567285,0.002003071979471117,2.5542421507594953e-06,0.8221348555998811,,0.0
reference_frozen_N128,14.040000000000001,-0.05680069398256758,0.0020673971190932512,5.023868165870324e-06,0.8221348556003596,,0.0
reference_frozen_N128,14.06,-0.07115489721123937,0.0021234837018225435,7.439580695882848e-06,0.8221348556013871,,0.0
reference_frozen_N128,14.08,-0.08545207884899651,0.0021711232002823815,9.775185790166892e-06,0.8221348556002558,,0.0
reference_frozen_N128,14.1,-0.09968072503080097,0.0022101488558206937,1.200500650735214e-05,0.8221348556002487,,0.0
reference_frozen_N128,14.120000000000001,-0.11382934620502841,0.002240437959214402,1.4104151447339715e-05,0.8221348555999084,,0.0
reference_frozen_N128,14.14,-0.12788648175208273,0.0022619138828248843,1.6048783588850344e-05,0.8221348556004489,,0.0
reference_frozen_N128,14.16,-0.1418407048580271,0.0022745478529134977,1.7816386022520447e-05,0.8221348556011848,,0.0
reference_frozen_N128,14.18,-0.15568062767755234,0.0022783604351708474,1.9386021464680985e-05,0.8221348556002497,,0.0
reference_frozen_N128,14.200000000000001,-0.16939490681669522,0.002273422715871007,2.073858240138589e-05,0.8221348556002317,,0.0
reference_frozen_N128,14.22,-0.1829722491599833,0.002259857170412401,2.1857029255988004e-05,0.8221348555999201,,0.0
reference_frozen_N128,14.24,-0.19640141807207087,0.002237838191015685,2.272661221567848e-05,0.8221348556004483,,0.0
reference_frozen_N128,14.26,-0.2096712399907813,0.0022075922751125564,2.3335075262451327e-05,0.8221348556011436,,0.0
reference_frozen_N128,14.280000000000001,-0.22277061143458687,0.002169397852781992,2.3672837534143438e-05,0.8221348556002511,,0.0
reference_frozen_N128,14.3,-0.2356885064397825,0.0021235847468117747,2.3733149296286022e-05,0.8221348556002204,,0.0
reference_frozen_N128,14.32,-0.24841398443375284,0.0020705332715045656,2.351222198805536e-05,0.8221348556000236,,0.0
