mG_eV,a,phase,mu_factor,scheme,eta,scalar_CW_clockoff_eV4,max_abs_delta,max_abs_delta_kinetic,min_f,min_D,max_tree_force_ratio,max_charged_force_ratio,max_modulus_force_ratio,max_selected_force_ratio,max_selected_index,max_component_sum_ratio,max_component_sum_index,max_selected_x_ratio,max_selected_y_ratio,min_modulus_mass_eV,max_H_over_modulus_mass,max_mass_over_geometric_marker,geometric_marker_eV,max_d_over_s,max_B_over_s,min_scalar_over_fermion_mass2,max_Fcomp_abs_eV,max_above_threshold_AMSB_abs_eV,selected_budget_pass,component_sum_budget_pass
3.1622776601683795e-10,0.1,zero,1.0,tree_eta,7.078322021207937e-48,-1.0942687833372485e-39,1.182607078329588e-47,1.433991584225474e-50,1.0,1.0,8.012904309341208e-24,3.7252734392199936e-35,4.6427276188379546e-52,8.012904309378461e-24,1024,8.012904309378461e-24,1024,8.012904309378461e-24,0.0,6.92820323027551e-10,1.392795769924875e-23,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.4767239198287494e-57,5.199310731932047e-60,True,True
5.623413251903491e-10,0.1,zero,1.0,tree_eta,2.2383619599143745e-48,-1.0942687833372482e-38,3.739731944558652e-48,4.5346795516656796e-51,1.0,1.0,4.505987227938393e-24,3.7252734392199936e-35,2.6107976016751683e-51,4.505987227975646e-24,1024,4.505987227975646e-24,1024,4.505987227975646e-24,0.0,1.2320281152964093e-09,7.832266189790669e-24,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878328e-57,2.923787287071071e-60,True,True
1e-09,0.1,zero,1.0,tree_eta,7.078322021207935e-49,-1.0942687833372486e-37,1.1826070783295877e-48,1.433991584225474e-51,1.0,1.0,2.533902829049663e-24,3.7252734392199936e-35,1.4681593831297993e-50,2.5339028290869157e-24,1024,2.5339028290869157e-24,1024,2.5339028290869157e-24,0.0,2.1908902300206647e-09,4.40440694841045e-24,1.2986766571533386e-17,7.700146102510003e+27,2.8753438695127816e-88,5.237068767221307e-46,1.0,1.4156644042415872e-57,1.6441664175862416e-60,True,True
1.7782794100389228e-09,0.1,zero,1.0,tree_eta,2.238361959914375e-49,-1.0942687833372483e-36,3.739731944558653e-49,4.5346795516656805e-52,1.0,1.0,1.4249182747913628e-24,3.7252734392199947e-35,8.256066930998569e-50,1.4249182748286155e-24,1024,1.4249182748286155e-24,1024,1.4249182748286155e-24,0.0,3.896014985701188e-09,2.476780040046714e-24,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060203e-58,9.245827220989161e-61,True,True
3.1622776601683795e-09,0.1,zero,1.0,tree_eta,7.078322021207936e-50,-1.0942687833372483e-35,1.182607078329588e-49,1.4339915842254739e-52,1.0,1.0,8.012904309341208e-25,3.7252734392199936e-35,4.642727618837953e-49,8.012904309713735e-25,1024,8.012904309713735e-25,1024,8.012904309713735e-25,0.0,6.92820323027551e-09,1.3927957699248752e-24,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.476723919828749e-58,5.199310731932046e-61,True,True
5.623413251903491e-09,0.1,zero,1.0,tree_eta,2.238361959914375e-50,-1.0942687833372485e-34,3.739731944558653e-50,4.53467955166568e-53,1.0,1.0,4.505987227938394e-25,3.7252734392199936e-35,2.610797601675169e-48,4.505987228310921e-25,1024,4.505987228310921e-25,1024,4.505987228310921e-25,0.0,1.2320281152964092e-08,7.832266189790669e-25,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878333e-58,2.9237872870710714e-61,True,True
1e-08,0.1,zero,1.0,tree_eta,7.078322021207936e-51,-1.0942687833372483e-33,1.1826070783295877e-50,1.4339915842254741e-53,1.0,1.0,2.533902829049664e-25,3.7252734392199936e-35,1.4681593831297995e-47,2.533902829422191e-25,1024,2.5339028294221913e-25,1024,2.533902829422191e-25,0.0,2.1908902300206648e-08,4.404406948410451e-25,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415872e-58,1.6441664175862415e-61,True,True
1.7782794100389228e-08,0.1,zero,1.0,tree_eta,2.238361959914375e-51,-1.0942687833372484e-32,3.7397319445586534e-51,4.534679551665681e-54,1.0,1.0,1.4249182747913626e-25,3.7252734392199936e-35,8.256066930998569e-47,1.4249182751638899e-25,1024,1.4249182751638899e-25,1024,1.4249182751638899e-25,0.0,3.896014985701187e-08,2.476780040046714e-25,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060203e-59,9.24582722098916e-62,True,True
3.162277660168379e-08,0.1,zero,1.0,tree_eta,7.078322021207936e-52,-1.0942687833372481e-31,1.1826070783295879e-51,1.4339915842254743e-54,1.0,1.0,8.012904309341208e-26,3.7252734392199936e-35,4.642727618837952e-46,8.012904313066482e-26,1024,8.012904313066482e-26,1024,8.012904313066482e-26,0.0,6.928203230275509e-08,1.3927957699248753e-25,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.476723919828749e-59,5.1993107319320455e-62,True,True
5.6234132519034905e-08,0.1,zero,1.0,tree_eta,2.2383619599143747e-52,-1.094268783337248e-30,3.739731944558653e-52,4.53467955166568e-55,1.0,1.0,4.505987227938394e-26,3.7252734392199936e-35,2.6107976016751684e-45,4.5059872316636675e-26,1024,4.5059872316636675e-26,1024,4.5059872316636675e-26,0.0,1.2320281152964094e-07,7.832266189790668e-26,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.517446861587833e-59,2.9237872870710708e-62,True,True
1e-07,0.1,zero,1.0,tree_eta,7.078322021207937e-53,-1.094268783337248e-29,1.1826070783295881e-52,1.4339915842254743e-55,1.0,1.0,2.533902829049664e-26,3.7252734392199936e-35,1.468159383129799e-44,2.5339028327749372e-26,1024,2.5339028327749372e-26,1024,2.5339028327749372e-26,0.0,2.1908902300206643e-07,4.4044069484104515e-26,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415873e-59,1.6441664175862416e-62,True,True
1.7782794100389227e-07,0.1,zero,1.0,tree_eta,2.2383619599143753e-53,-1.094268783337248e-28,3.7397319445586534e-53,4.534679551665681e-56,1.0,1.0,1.4249182747913626e-26,3.7252734392199947e-35,8.256066930998567e-44,1.424918278516636e-26,1024,1.424918278516636e-26,1024,1.424918278516636e-26,0.0,3.896014985701187e-07,2.4767800400467146e-26,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060204e-60,9.245827220989161e-63,True,True
3.162277660168379e-07,0.1,zero,1.0,tree_eta,7.078322021207937e-54,-1.094268783337248e-27,1.182607078329588e-53,1.4339915842254742e-56,1.0,1.0,8.012904309341207e-27,3.7252734392199936e-35,4.642727618837952e-43,8.012904346593942e-27,1024,8.012904346593942e-27,1024,8.012904346593942e-27,0.0,6.92820323027551e-07,1.392795769924875e-26,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.4767239198287496e-60,5.199310731932047e-63,True,True
5.62341325190349e-07,0.1,zero,1.0,tree_eta,2.238361959914375e-54,-1.0942687833372481e-26,3.7397319445586526e-54,4.5346795516656814e-57,1.0,1.0,4.505987227938395e-27,3.7252734392199936e-35,2.610797601675168e-42,4.505987265191127e-27,1024,4.5059872651911324e-27,1024,4.505987265191127e-27,0.0,1.2320281152964093e-06,7.832266189790669e-27,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.517446861587833e-60,2.9237872870710714e-63,True,True
1e-06,0.1,zero,1.0,tree_eta,7.078322021207936e-55,-1.0942687833372479e-25,1.1826070783295877e-54,1.4339915842254743e-57,1.0,1.0,2.533902829049664e-27,3.725273439219993e-35,1.4681593831297996e-41,2.5339028663023836e-27,1024,2.533902866302413e-27,1024,2.5339028663023836e-27,0.0,2.1908902300206646e-06,4.404406948410451e-27,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512781e-88,5.237068767221307e-46,1.0,1.415664404241587e-60,1.6441664175862413e-63,True,True
