T_K,nH_cm3,Lvol_erg_cm3_s,Lambda_per_nH_squared_erg_cm3_s,tcool_s,mu,tau_chem_s,L_excitation_HI_erg_cm3_s,L_excitation_HeII_erg_cm3_s,L_ionization_HI_erg_cm3_s,L_ionization_HeI_erg_cm3_s,L_ionization_HeII_erg_cm3_s,L_recombination_HII_erg_cm3_s,L_recombination_HeII_erg_cm3_s,L_recombination_HeIII_erg_cm3_s,L_dielectronic_HeII_erg_cm3_s,L_freefree_erg_cm3_s
473151.2589614803,1e-06,6.519647943041454e-36,6.519647943041455e-24,3.3618706924219585e+19,0.5882416884810452,2668521696414045.5,5.248734707382504e-37,9.042852741508443e-37,5.624405943110426e-37,2.7178159270250062e-39,7.127944089419832e-37,1.2696054269637784e-36,4.59502395540155e-41,4.008181579737557e-37,4.4391793014279566e-39,2.1376276644937935e-36
501187.2336272725,1e-06,6.362598256534607e-36,6.362598256534607e-24,3.64897793503073e+19,0.5882408900445775,2454322145906156.0,4.802173513252014e-37,7.97442011596742e-37,5.320911343867538e-37,2.2980722313658863e-39,6.743559070898946e-37,1.2722666247599475e-36,4.0832578596604147e-41,4.016726573338584e-37,3.753992940031936e-39,2.1984596722922145e-36
530884.4442309879,1e-06,6.226697736254698e-36,6.226697736254698e-24,3.949557644820634e+19,0.5882402105463395,2267160392872772.0,4.393067444991217e-37,7.03683383471397e-37,5.031863412541492e-37,1.9446995582639946e-39,6.377421524167117e-37,1.2744445826837518e-36,3.642902401668556e-41,4.0237243994089294e-37,3.1769494049432796e-39,2.2608040140014485e-36
562341.3251903491,1e-06,6.109802053065852e-36,6.109802053065852e-24,4.263630202656077e+19,0.5882396294228075,2102910757123890.0,4.0182490251661275e-37,6.213174642451459e-37,4.756676530649761e-37,1.6468692234468916e-39,6.028802711440392e-37,1.2761323867062698e-36,3.2621698204461516e-41,4.02915686094246e-37,2.690463382293087e-39,2.324693734990618e-36
595662.1435290109,1e-06,6.010040522617231e-36,6.010040522617231e-24,4.591236226479575e+19,0.5882391301074719,1958172712510116.2,3.6748312631068377e-37,5.488869504089686e-37,4.494785349129461e-37,1.3955895222758818e-39,5.696996568652686e-37,1.277323988086542e-36,2.9314749054665274e-41,4.033007793131348e-37,2.2799174259866185e-39,2.39016266502237e-36
630957.344480193,1e-06,5.9257774082210414e-36,5.925777408221042e-24,4.932442406921835e+19,0.5882386991778814,1830128623143635.0,3.3601805092504895e-37,4.851340074796079e-37,4.2456440604608624e-37,1.1833796260930153e-39,5.3813194981518505e-37,1.2780142413771218e-36,2.6429811270698825e-41,4.0352633311789906e-37,1.9331390068526806e-39,2.4572454710158766e-36
668343.9175686149,1e-06,5.855579333940305e-36,5.8555793339403055e-24,5.287346389724004e+19,0.5882383256993604,1716431997388866.0,3.071892246082744e-37,4.289707961254298e-37,4.008725702786009e-37,1.0040043158682445e-39,5.081110022150334e-37,1.2781989378729744e-36,2.39024822129811e-41,4.0359121300389475e-37,1.6399741130719987e-39,2.5259777089249446e-36
707945.7843841374,1e-06,5.798187767105976e-36,5.798187767105976e-24,5.6560806992857645e+19,0.5882380007169493,1615119202866499.0,2.807769464364859e-37,3.794546963573687e-37,3.783521496777635e-37,8.522576056925519e-40,4.795728345560091e-37,1.2778748343874111e-36,2.1679569211478732e-41,4.034945543915564e-37,1.3919387082545798e-39,2.596395875416222e-36
749894.2093324559,1e-06,5.7524957177207414e-36,5.752495717720741e-24,6.038815736187337e+19,0.5882377168597608,1524539326185069.0,2.5658033186017194e-37,3.3576742801468116e-37,3.5695402152620505e-37,7.23785777041426e-40,4.524555862625667e-37,1.277039677223415e-36,1.971692711732851e-41,4.032357771196694e-37,1.181933142430392e-39,2.6685374598674427e-36
794328.2347242822,1e-06,5.7175279547737705e-36,5.7175279547737704e-24,6.4357619111814685e+19,0.5882374680311175,1443298147450161.0,2.3441557948437305e-37,2.971974107994818e-37,3.3663075850617243e-37,6.149422777986757e-40,4.26699463167886e-37,1.2756922212098527e-36,1.7977750127549582e-41,4.028145968950718e-37,1.0040075992362236e-39,2.74244099708377e-36
