phase,mG_eV,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,1.7782794100389228e-34,0.31834262512497497,1024,5.312106363440947e-35,1024,4.3451896385639984e-88,2.2947778648596398e-45,1.0,0.002252519064152356,2.252519064152356e-14,9.55395481524818e-35,1.3974257815679675e-35,1.5854268595931043e-39,0.31412695664220897
zero,3.1622776601683794e-34,0.5661021355974825,1024,3.9974845899078954e-35,1024,4.4146746521755825e-88,3.6787761149890965e-45,1.0,0.002278665407063883,2.278665407063883e-14,9.777039074844633e-35,1.430055587951868e-35,1.6603305055280626e-39,0.1766465690761911
zero,5.623413251903491e-34,1.0066877717120652,1024,2.1620635656296486e-35,0,4.634340353900152e-88,6.139911706724208e-45,1.0,0.002355917122929315,2.355917122929315e-14,1.0451202189034698e-34,1.5286632258326503e-35,1.897196631733344e-39,0.09933566574463386
zero,1e-33,1.7901721367735297,1024,1.6637211829388887e-34,1024,5.328868343285444e-88,1.0516498454820718e-44,1.0,0.00256028874118882,2.56028874118882e-14,1.2343096523499803e-34,1.805384433971966e-35,2.6462330910829292e-39,0.055860549913502956
zero,1.7782794100389226e-33,3.18342625124975,1024,6.874363360515725e-34,1024,7.524952493633182e-88,1.8299292555209944e-44,1.0,0.0030039823007556397,3.0039823007556395e-14,1.6991861965037306e-34,2.4853441790294316e-35,5.0148943531357395e-39,0.0314126956642209
zero,3.162277660168379e-33,5.6610213559748255,1024,2.366720423677062e-33,1024,1.4469213670076763e-87,3.2139275056504513e-44,1.0,0.0037748969002218942,3.7748969002218945e-14,2.6832208611338238e-34,3.9246595587881745e-35,1.2505258946631586e-38,0.017664656907619113
zero,5.623413251903491e-33,10.066877717120656,1024,7.733159868450503e-33,1024,3.642824360936049e-87,5.675063097385562e-44,1.0,0.004923621766311356,4.923621766311356e-14,4.564735295136906e-34,6.676689298631432e-35,3.619187156715973e-38,0.009933566574463386
zero,1e-32,17.9017213677353,1024,2.480305181710145e-32,1024,1.0586763390649076e-86,1.008312514951984e-43,1.0,0.0065171250833930775,6.517125083393078e-14,7.9975754392827e-34,1.1697792511067145e-34,1.1109551750211818e-37,0.005586054991350295
zero,1.7782794100389227e-32,31.8342625124975,1024,7.896012048240698e-32,1024,3.254522046303484e-86,1.7926050849976552e-43,1.0,0.008669913526392835,8.669913526392836e-14,1.415388830524907e-33,2.070243036487985e-34,3.4796164370739923e-37,0.0031412695664220897
zero,3.1622776601683795e-32,56.61021355974826,1024,2.5053515238588023e-31,1024,1.019835920427558e-85,3.1872964137563817e-43,1.0,0.011552697228754401,1.1552697228754402e-13,2.5131187796858288e-33,3.675856797303032e-34,1.096998103056984e-36,0.0017664656907619113
zero,5.623413251903491e-32,100.66877717120656,1024,7.936638117109022e-31,1024,3.2156635120241985e-85,5.6674472870478516e-43,1.0,0.015402045108537772,1.5402045108537773e-13,4.466866925021883e-33,6.533540428615329e-34,3.465659365109797e-36,0.0009933566574463384
zero,1e-31,179.01721367735297,1024,2.5121846414695967e-30,1024,1.015946845532324e-84,1.0077848518812128e-42,1.0,0.020537386000148837,2.0537386000148836e-13,7.942122179757983e-33,1.1616682838653644e-33,1.0956023958605647e-35,0.0005586054991350296
zero,1.7782794100389228e-31,318.34262512497503,1024,7.948397976895525e-30,1024,3.211768708459985e-84,1.792077421926884e-42,1.0,0.02738638170056307,2.738638170056307e-13,1.4122628861817915e-32,2.0656708197449826e-33,3.464263657913377e-35,0.00031412695664220894
zero,3.162277660168379e-31,566.1021355974826,1024,2.5142367398652089e-29,1024,1.0155563464584928e-83,3.186768750685611e-42,1.0,0.03652004747917351,3.6520047479173514e-13,2.511359575791855e-32,3.673283667197214e-33,1.0954628251409222e-34,0.00017664656907619115
zero,5.623413251903491e-31,1006.6877717120655,1024,7.952008047963104e-29,1024,3.2113763978219607e-83,5.66691962397708e-42,1.0,0.0487001481646694,4.87001481646694e-13,4.465877410315504e-32,6.532093097757402e-33,3.4641240871937345e-34,9.933566574463386e-05
zero,9.999999999999999e-31,1790.1721367735295,1024,2.5148747980443626e-28,1024,1.0155167932479597e-82,1.0077320855741352e-41,1.0,0.06494264162892063,6.494264162892063e-13,7.941565691745898e-32,1.1615868881805136e-32,1.0954488680689574e-33,5.586054991350297e-05
