epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0001,0.09289844711163289,-2.3762483490002997,19.87089750455253,-1.498962507352334,0.6651774325333256,0.48563133875498143,136.55370612585432,1.4997991949945841,7.493070855034692e-05,0.0006567706905745511,0.9950621893744144,0.003128376704723659,4.608027370878985,0.9969188985672776,4.60804117938087,0.9969190654530912
0.0001,0.09298721529186045,-2.37529326525874,19.84247007636986,-1.4989535505915708,0.6651802260121743,0.4863291236475116,136.55513855748575,1.499794596268634,7.493041865114328e-05,0.0006545056461633214,0.995060208868281,0.0031253840487998493,4.612416950652399,0.9969181795775053,4.612430773042481,0.9969183460661337
0.0001,0.09307606829363307,-2.3743381815171807,19.814083486328126,-1.4989445738889948,0.6651830211871793,0.48702790822256425,136.5565709847204,1.4997899878513785,7.493012795619935e-05,0.0006522382977534633,0.9950582113227825,0.0031223942022190476,4.616810708722049,0.9969174509253588,4.616824545012499,0.9969176170177461
0.0001,0.09316500619800121,-2.373383097775621,19.785737675895906,-1.498935577182402,0.6651858180686417,0.4877276939063376,136.55800340754897,1.4997853697103063,7.492983646316185e-05,0.0006499686334088202,0.9950561967000587,0.0031194071622771087,4.621208649019386,0.9969167125904421,4.621222499222389,0.9969168782875302
0.0001,0.09325402908609265,-2.3724280140340612,19.757432586626177,-1.4989265604094184,0.6651886166668879,0.48842848212704093,136.55943582596217,1.4997807418128226,7.492954416967106e-05,0.000647696641168274,0.9950541649621321,0.003116422926272293,4.625610775479387,0.9969159645522953,4.625624639607135,0.9969161298550236
0.0001,0.09334313703911272,-2.3714729302925015,19.729168160156117,-1.4989175235074976,0.665191416992269,0.4891302743148994,136.56086823995065,1.4997761041262483,7.492925107336089e-05,0.0006454223090438646,0.9950521160709078,0.003113441491505277,4.630017092040543,0.9969152067903929,4.63003097010525,0.9969153716996989
0.0001,0.09343233013834437,-2.3705178465509418,19.700944338207012,-1.4989084664139214,0.6651942190551614,0.4898330719021558,136.5623006495051,1.4997714566178195,7.492895717185887e-05,0.0006431456250192058,0.9950500499881724,0.00311046285527914,4.634427602644888,0.9969144392841447,4.634441494658775,0.9969146038009636
0.0001,0.09352160846514822,-2.369562762809382,19.672761062584094,-1.498899389065799,0.6651970228659669,0.49053687632307474,136.56373305461608,1.4997667992546875,7.492866246278606e-05,0.000640866577052051,0.9950479666755951,0.0031074870148993755,4.6388423112379815,0.9969136620128953,4.638856217213283,0.9969138261381602
0.0001,0.09361097210096257,-2.3686076790678228,19.644618275176477,-1.498890291400067,0.6651998284351124,0.4912416890139434,136.56516545527415,1.499762132003919,7.492836694375766e-05,0.0006385851530649985,0.9950458660947264,0.003104513967673877,4.643261221768913,0.9969128749559237,4.643275141717877,0.9969130386905651
0.0001,0.09370042112730367,-2.367652595326263,19.616515917956974,-1.4988811733534897,0.6652026357730503,0.4919475114130767,136.56659785146988,1.4997574548324946,7.492807061238181e-05,0.0006363013409607112,0.9950437482069983,0.0031015437109129323,4.6476843381903175,0.9969120780924435,4.647698272125207,0.99691224143739
0.0001,0.09378995562576552,-2.3666975115847038,19.58845393298204,-1.4988720348626543,0.6652054448902582,0.49265434496081745,136.56803024319376,1.4997527677073097,7.492777346626098e-05,0.0006340151286038236,0.9950416129737222,0.0030985762419292445,4.652111664458367,0.9969112714016024,4.652125612391451,0.9969114343577804
0.0001,0.0938795756780202,-2.365742427843144,19.560432262391586,-1.4988628758639766,0.6652082557972397,0.4933621910995418,136.56946263043628,1.4997480705951745,7.492747550299087e-05,0.0006317265038357645,0.9950394603560919,0.0030956115580378983,4.656543204532765,0.9969104548624822,4.656557166476338,0.9969106174308158
