mg,mv,kk,sigma,phase,A,cforce,contactforce,treeBforce,loopBforce,valleyforce,force_sum,min_mass2,max_mass2,min_baseline,max_stabilization,max_abs_Jy,metric_fraction,FT_ratio,FZ_ratio,mass_hierarchy,perturbativity,stable,force_ok,auxiliary_ok,hierarchy_ok,metric_ok,perturbative_ok,necessary_intersection,asymptotic_mass2,critical_U,critical_chi
1e-06,10000000000000.0,100000000000000.0,0,zero,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,0.0,4.22335453033213e-11,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,0,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,8.786493144405499e-33,4.22335453033213e-11,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,2.22385128931552e-17,2.9048598495568297e-16,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,0,pi,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,0.0,4.22335453033213e-11,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,1,zero,4.335970987269697e-31,4.22335453033213e-11,2.5330459865608746e-06,0.0,0.0,0.0,2.533088220106178e-06,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,1,quadrature,4.335970987269697e-31,4.22335453033213e-11,2.5330460972385774e-06,6.486026284518144e-35,1.191944434348016e-10,8.786493144405499e-33,2.5332075252273155e-06,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,2.22385128931552e-17,2.9048598495568297e-16,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,1,pi,4.335970987269697e-31,4.22335453033213e-11,2.5330459865608746e-06,0.0,0.0,0.0,2.533088220106178e-06,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-05,100000000000.0,100000000000000.0,-1,zero,4.335970987269697e-31,4.223354530332113e-09,0.025330459865608754,0.0,0.0,0.0,0.025330464088963285,9.983433908532248e-37,7.394068262319982e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,4.2175437164302165,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447274e-39,8.671941974539395e-19,143.22790161522147
1e-05,100000000000.0,100000000000000.0,-1,quadrature,4.335970987269697e-31,4.223354530332113e-09,0.025331728271153705,6.486026284518145e-32,1.1919444343480165e-05,7.0666397318461305e-37,0.025343651938851717,9.983433908532248e-37,7.394068262319982e-35,5.662844897208407e-66,7.394172325623676e-35,2.2238512893155204e-16,2.6050968398258756e-17,4.2175437164302165,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447274e-39,8.671941974539395e-19,143.22790161522147
1e-05,100000000000.0,100000000000000.0,-1,pi,4.335970987269697e-31,4.223354530332113e-09,0.025330459865608754,0.0,0.0,0.0,0.025330464088963285,9.983433908532248e-37,7.394068262319982e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,4.2175437164302165,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447274e-39,8.671941974539395e-19,143.22790161522147
1e-05,100000000000.0,100000000000000.0,0,zero,4.335970987269697e-31,4.223354530332113e-09,0.0,0.0,0.0,0.0,4.223354530332113e-09,9.983433908532248e-37,7.394068262319982e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,4.2175437164302165,2.4822993919656557e-29,1.0,0.0,True,True,False,False,True,True,False,-1.0406330369447274e-39,8.671941974539395e-19,143.22790161522147
