phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.92922585193182,3.4712640777429474e-14,1.3869893052886484e-06,1.7122033945355155e-06,3.099192699824164e-06,3.6340372776770016e-23
zero,137.93160895731663,3.4547586668906894e-14,1.3902985885900095e-06,1.7162886214947033e-06,3.106587210084713e-06,3.6340372776770016e-23
zero,137.93399190590293,3.438332815378846e-14,1.3936155491498688e-06,1.7203833258363127e-06,3.1139988749861815e-06,3.6340372776770016e-23
zero,137.93637469697487,3.4219861395595e-14,1.3969402032431111e-06,1.7244875276512802e-06,3.1214277308943913e-06,3.6340372776770016e-23
zero,137.93875732981343,3.4057182576346723e-14,1.4002725671682547e-06,1.7286012470597156e-06,3.1288738142279703e-06,3.6340372776770016e-23
zero,137.9411398036964,3.3895287896477016e-14,1.403612657247336e-06,1.7327245042107629e-06,3.136337161458099e-06,3.6340372776770016e-23
zero,137.94352211789825,3.3734173574746585e-14,1.4069604898258018e-06,1.7368573192824644e-06,3.1438178091082665e-06,3.6340372776770016e-23
zero,137.94590427169038,3.357383584814643e-14,1.4103160812726386e-06,1.740999712481922e-06,3.1513157937545605e-06,3.6340372776770016e-23
zero,137.94828626434088,3.341427097181482e-14,1.4136794479802185e-06,1.745151704045107e-06,3.1588311520253255e-06,3.6340372776770016e-23
zero,137.95066809511454,3.32554752189546e-14,1.4170506063641479e-06,1.7493133142366717e-06,3.16636392060082e-06,3.6340372776770016e-23
zero,137.953049763273,3.309744488073371e-14,1.4204295728634748e-06,1.7534845633502081e-06,3.173914136213683e-06,3.6340372776770016e-23
zero,137.95543126807448,3.294017626621282e-14,1.4238163639403345e-06,1.757665471707807e-06,3.1814818356481414e-06,3.6340372776770016e-23
zero,137.95781260877405,3.2783665702246865e-14,1.4272109960801534e-06,1.761856059660313e-06,3.1890670557404666e-06,3.6340372776770016e-23
zero,137.96019378462339,3.2627909533407625e-14,1.4306134857914155e-06,1.766056347587034e-06,3.1966698333784496e-06,3.6340372776770016e-23
zero,137.9625747948709,3.247290412189188e-14,1.4340238496057452e-06,1.7702663558958443e-06,3.2042902055015895e-06,3.6340372776770016e-23
zero,137.9649556387616,3.231864584744471e-14,1.4374421040776685e-06,1.77448610502289e-06,3.2119282091005587e-06,3.6340372776770016e-23
zero,137.9673363155373,3.216513110726115e-14,1.4408682657848612e-06,1.7787156154328942e-06,3.219583881217755e-06,3.6340372776770016e-23
zero,137.96971682443626,3.201235631591942e-14,1.4443023513277012e-06,1.782954907618606e-06,3.227257258946307e-06,3.6340372776770016e-23
zero,137.9720971646935,3.186031790528344e-14,1.447744377329517e-06,1.787204002101106e-06,3.234948379430623e-06,3.6340372776770016e-23
zero,137.97447733554068,3.170901232442227e-14,1.451194360436465e-06,1.7914629194296555e-06,3.2426572798661204e-06,3.6340372776770016e-23
zero,137.97685733620597,3.155843603953343e-14,1.4546523173173256e-06,1.7957316801814444e-06,3.25038399749877e-06,3.6340372776770016e-23
zero,137.97923716591416,3.1408585533854005e-14,1.4581182646635868e-06,1.8000103049616943e-06,3.258128569625281e-06,3.6340372776770016e-23
zero,137.98161682388667,3.125945730757764e-14,1.461592219189399e-06,1.8042988144036038e-06,3.2658910335930026e-06,3.6340372776770016e-23
zero,137.98399630934142,3.111104787777901e-14,1.4650741976313697e-06,1.8085972291680932e-06,3.273671426799463e-06,3.6340372776770016e-23
zero,137.98637562149293,3.096335377832617e-14,1.4685642167486435e-06,1.8129055699439052e-06,3.2814697866925487e-06,3.6340372776770016e-23
zero,137.98875475955225,3.081637155980052e-14,1.4720622933228167e-06,1.8172238574474976e-06,3.2892861507703146e-06,3.6340372776770016e-23
zero,137.9911337227269,3.067009778942406e-14,1.4755684441576832e-06,1.8215521124227317e-06,3.297120556580415e-06,3.6340372776770016e-23
