kappa,r,hidden_metric,t,V_hat,dV_hat_dr,V_over_S
0,2.45,3.30988215187605524637609158287584019499713072978234851952191,0.0,0.0,0.0,undefined_zero_source
0,2.5,3.35702260395515841466948120701616346428278645896158012196113,0.0,0.0,0.0,undefined_zero_source
0,2.55,3.40416305603426158296287083115648673356844218814081172440036,0.0,0.0,0.0,undefined_zero_source
0,2.6,3.45130350811336475125626045529681000285409791732004332683958,0.0,0.0,0.0,undefined_zero_source
0,2.65,3.4984439601924679195496500794371332721397536464992749292788,0.0,0.0,0.0,undefined_zero_source
0,2.7,3.54558441227157108784303970357745654142540937567850653171802,0.0,0.0,0.0,undefined_zero_source
0,2.75,3.59272486435067425613642932771777981071106510485773813415725,0.0,0.0,0.0,undefined_zero_source
0,2.8,3.63986531642977742442981895185810307999672083403696973659647,0.0,0.0,0.0,undefined_zero_source
0,2.85,3.68700576850888059272320857599842634928237656321620133903569,0.0,0.0,0.0,undefined_zero_source
0,2.9,3.73414622058798376101659820013874961856803229239543294147491,0.0,0.0,0.0,undefined_zero_source
0,2.95,3.78128667266708692930998782427907288785368802157466454391414,0.0,0.0,0.0,undefined_zero_source
0,3.0,3.82842712474619009760337744841939615713934375075389614635336,0.0,0.0,0.0,undefined_zero_source
1e-6,0.0,1.00000099999800000699997000014299927200387597868212017430931,0.000000999998000006999970000142999272003875978682120174309314031991,0.000000999999500000999997000010999954500203999031004806975332630064,-0.000000942807155970579836747998764327258251225537377065368571158087,0.999999500000999997000010999954500203999031004806975332630064
1e-6,0.05,1.04714136406761836618800831257284438136966073727112462651753,0.000000911988515197894618688432521112084005008091893024078303780459,0.000000954981313679851200751806287499303981719578337453559757536564,-0.000000859831017947576055453558703586639956088130660304273879654608,0.954981313679851200751806287499303981719578337453559757536564
1e-6,0.1,1.09428173926438317141640697553102092294419751970205149297068,0.000000835106176834829627727250374384372886061343588288092238213158,0.0000009138417883584101941419875662139627382875640880159477884247,-0.000000787345654200906848861380779959354152910647473220453762195658,0.9138417883584101941419875662139627382875640880159477884247
1e-6,0.15,1.1414221237886382431841506519602846992382170082009506653031,0.000000767551328738303981779539314891381249820663255857985427576386,0.000000876100362332787297719985574475536411817022229184912171556592,-0.000000723654332612799626909762628169251836288772055980012894259932,0.876100362332787297719985574475536411817022229184912171556592
1e-6,0.2,1.18856251619037906587340129462530222274191817641234936253969,0.000000707873966392699842798064009145599295259695422952782796047153,0.000000841352713184147301933386342364305180600637090935844931265951,-0.000000667389975815595071678012973863171288188650368384131853077069,0.841352713184147301933386342364305180600637090935844931265951
1e-6,0.25,1.23570291529079145143550575444058955673096266228817354071961,0.000000654895275609968557633738973210302684016392015528523494022296,0.000000809256215725315505587574058499521992712005971250083108871059,-0.000000617441187134455694275272593977019758733086382298050824755403,0.809256215725315505587574058499521992712005971250083108871059
1e-6,0.3,1.28284332012358854714239848586640222066430342760861364200723,0.000000607648969537382060741024462604950369052533224027371896257565,0.000000779518606169647610148293898849232418214840521664644394762555,-0.000000572896942587867598812873326461303742419038820046144723348068,0.779518606169647610148293898849232418214840521664644394762555
1e-6,0.35,1.32998372989063595431526917408570069670191076981832768000719,0.000000565336913776261541805103437811702320665563706462932628772353,0.000000751889057031926217794099130185643420129081813739595559342808,-0.000000533004753848358739676371755280267532980554327550105991659104,0.751889057031926217794099130185643420129081813739595559342808
1e-6,0.4,1.37712414392802185721416497215565453007075478106787490203345,0.000000527295196510867047979033068375785508947634022082519670051436,0.00000072615108511249797291813704041805064628451048673595207824281,-0.000000497138678853236324470647496069042580114247684819037332529735,0.72615108511249797291813704041805064628451048673595207824281
1e-6,0.45,1.42426456167985403131774157181943911248412498660223277816757,0.000000492967925516677234954556529688913223423989148356214570359398,0.000000702116867866925025802219533889974324043817950776837523972282,-0.000000464774617387076463385137495360907138572153994617109108374079,0.702116867866925025802219533889974324043817950776837523972282
